"#","Solution","W","T","P0","P1","P2","P3","P4","P5","P6","v1","v2","v3"
"72","C-0_0_4_0_1_0_3_1_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.08","2","0.9","26","13","6245.55","100.5","1920.43"
"73","C-0_0_4_0_1_0_3_1_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.08","2","0.9","26","18","6247.2","100.5","1920.89"
"74","C-0_0_3_1_0_0_1_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.05","2","0.7","27","28","8714.95","101.5","2632.24"
"75","C-0_0_4_0_1_0_3_1_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.08","2","0.9","26","23","6652.34","91.0","2037.21"
"76","C-0_0_4_0_1_0_3_1_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.08","2","0.9","26","28","7049.41","21.0","2148.25"
"77","C-0_0_2_3_3_4_3_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.14","14","0.9","28","23","8623.11","295.5","3348.22"
"78","C-0_0_3_3_3_0_3_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.14","2","0.9","28","13","7114.54","149.5","2091.16"
"79","C-0_0_2_3_3_4_3_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.14","14","0.9","28","28","9226.31","162.5","3530.64"
"80","C-0_0_2_3_3_4_3_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.14","14","0.9","28","13","8306.31","287.5","3248.26"
"81","C-0_0_3_3_3_0_3_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.14","2","0.9","28","18","7116.49","148.0","2091.73"
